author_name ,work_name ,section_meter ,Corrected_meter
Anicius Manlius Seuerinus Boethius ,consolatio Philosophiae ,1,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,1,
C. Sollius Modestus Apollinaris Sidonius ,"epistulae, uersus inserti ","13, 2 ",
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,221,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,327,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,566,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,725,
C. Sollius Modestus Apollinaris Sidonius ,"epistulae, uersus inserti ","8, 5 ",
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,805,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,888,
"Martianus Minneius Felix Capella, Carthaginiensis ",de nuptiis Philologiae et Mercurii ,98-116 ,
P. Papinius Statius ,siluae 4 ,Alcaic stanzas ,
Q. Horatius Flaccus ,carmina 1 ,Alcaic stanzas ,
Q. Horatius Flaccus ,carmina 2 ,Alcaic stanzas ,
Q. Horatius Flaccus ,carmina 3 ,Alcaic stanzas ,
Q. Horatius Flaccus ,carmina 4 ,Alcaic stanzas ,
Aurelius Prudentius Clemens ,peristephanon ,Alcaics ,
Claudius Claudianus ,fescennini de nuptiis Honorii ,Alcaics ,
"Luxurius, Carthaginiensis ",carmina ,Alcaics ,
Magnus Felix Ennodius ,carmina 1 ,Alcaics ,
Annianus ,carminum fragmenta ,Anapaests ,
Aurelius Prudentius Clemens ,cathemerinon ,Anapaests ,
Claudius Claudianus ,carmina minora ,Anapaests ,
"D. Magnus Ausonius, Burdigalensis ",commemoratio professorum ,Anapaests ,
"Eugenius, archiepiscopus Toletanus ",carminum appendix ,Anapaests ,
"L. Annaeus Seneca, Cordubensis ",apocolocyntosis ,Anapaests ,
Laeuius ,carminum fragmenta ,Anapaests ,
"Luxurius, Carthaginiensis ",carmina ,Anapaests ,
"M. Terentius Varro, Reatinus ","saturae Menippeae, fragmenta ",Anapaests ,
Scaeuus Memor ,tragoediae fragmentum ,Anapaests ,
Septimius Serenus ,carminum fragmenta ,Anapaests ,
L. Liuius Andronicus ,*carminum fragmenta ,Archaic verses ,
"M. Terentius Varro, Reatinus ","saturae Menippeae, fragmenta ",Archaic verses ,
Septimius Serenus ,carminum fragmenta ,Archaic verses ,
uersus ex Historia Augusta ,uersus in Caesares ex Historia Augusta ,Archaic verses ,
Aurelius Prudentius Clemens ,peristephanon ,Archilocheans ,
Aurelius Prudentius Clemens ,peristephanon ,Archilocheans-Iambic metres ,
Q. Horatius Flaccus ,carmina 1 ,Archilocheans-Iambic metres ,
Aurelius Prudentius Clemens ,cathemerinon ,Asclepiadeans ,
Aurelius Prudentius Clemens ,"contra Symmachum, praefationes ",Asclepiadeans ,
"C. Valerius Catullus, Veronensis ",carmina ,Asclepiadeans ,
Claudius Claudianus ,fescennini de nuptiis Honorii ,Asclepiadeans ,
"Luxurius, Carthaginiensis ",carmina ,Asclepiadeans ,
Q. Horatius Flaccus ,carmina 1 ,Asclepiadeans ,
Q. Horatius Flaccus ,carmina 3 ,Asclepiadeans ,
Q. Horatius Flaccus ,carmina 4 ,Asclepiadeans ,
Albius Tibullus ,elegiae 1 ,Elegiac couplets ,
Albius Tibullus ,elegiae 2 ,Elegiac couplets ,
Albius Tibullus ,elegiae 3 ,Elegiac couplets ,
"Alcimus Ecdicius Auitus, episcopus Viennensis ",carminum appendix ,Elegiac couplets ,
"Ambrosius, episcopus Mediolanensis ",*uersus de naturis rerum ,Elegiac couplets ,
Anicius Manlius Seuerinus Boethius ,elogia Boeti ,Elegiac couplets ,
appendix Vergiliana ,catalepta ,Elegiac couplets ,
appendix Vergiliana ,copa ,Elegiac couplets ,
appendix Vergiliana ,Maecenas ,Elegiac couplets ,
appendix Vergiliana ,Priapeia ,Elegiac couplets ,
appendix Vergiliana ,de rosis nascentibus ,Elegiac couplets ,
"Arator, subdiaconus ecclesiae Romanae ",epistula ad Florianum ,Elegiac couplets ,
"Arator, subdiaconus ecclesiae Romanae ",epistula ad Vigilium ,Elegiac couplets ,
"Arator, subdiaconus ecclesiae Romanae ",epistula ad Parthenium ,Elegiac couplets ,
Auianus ,fabulae ,Elegiac couplets ,
"Aurelius Augustinus, episcopus Hipponensis ",*carmina ,Elegiac couplets ,
Aurelius Prudentius Clemens ,peristephanon ,Elegiac couplets ,
Bassus iunior ,uersus in tumulo Monicae ,Elegiac couplets ,
"Blossius Aemilius Dracontius, Carthaginiensis ",satisfactio ,Elegiac couplets ,
C. Asinius Gallus ,epigramma ,Elegiac couplets ,
C. Cornelius Gallus ,carminum fragmenta ,Elegiac couplets ,
C. Heluius Cinna ,carminum fragmenta ,Elegiac couplets ,
C. Licinius Macer Caluus ,carminum fragmenta ,Elegiac couplets ,
C. Plinius Caecilius Secundus ,carmina epistulis inserta ,Elegiac couplets ,
C. Sollius Modestus Apollinaris Sidonius ,carmina ,Elegiac couplets ,
C. Sollius Modestus Apollinaris Sidonius ,"epistulae, uersus inserti ",Elegiac couplets ,
"C. Sulpicius Apollinaris, grammaticus ",*epigramma apud Donati uitam Vergilii ,Elegiac couplets ,
"C. Valerius Catullus, Veronensis ",carmina ,Elegiac couplets ,
Cassiodorus Senator ,"variae, titulus ",Elegiac couplets ,
"Chintila, rex Visigothorum ",disticha ,Elegiac couplets ,
Claudius Claudianus ,carmina minora ,Elegiac couplets ,
Claudius Claudianus ,epigramma ,Elegiac couplets ,
"Columbanus, abbas Bobiensis ",versus in mulieres ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",praefationes ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",ephemeris ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",filius ad patrem ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",epicedion in patrem ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",de herediolo ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",parentalia ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",commemoratio professorum ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",epitaphia heroum ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",epigrammata ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",eclogae ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",Bissula ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",fasti ,Elegiac couplets ,
"D. Magnus Ausonius, Burdigalensis ",epistulae ,Elegiac couplets ,
Damasus papa ,epigrammata ,Elegiac couplets ,
Domitius Marsus ,carminum fragmenta ,Elegiac couplets ,
"Eugenius, archiepiscopus Toletanus ",carmina ,Elegiac couplets ,
"Eugenius, archiepiscopus Toletanus ",carminum appendix ,Elegiac couplets ,
"Eugenius, archiepiscopus Toletanus ",satisfactio ,Elegiac couplets ,
"Fl. Cresconius Corippus, Afer ",Iohannis seu de bellis Libycis ,Elegiac couplets ,
"Flauius Felix, Africanus ",carmina ,Elegiac couplets ,
Flauius Merobaudes ,carmina ,Elegiac couplets ,
"Isidorus, episcopus Hispalensis ",carmina ,Elegiac couplets ,
"Iulianus, archiepiscopus Toletanus ",carmina apologetica ,Elegiac couplets ,
"Iulianus, archiepiscopus Toletanus ",epitaphia ,Elegiac couplets ,
"L. Annaeus Seneca, Cordubensis ",carminum fragmenta ,Elegiac couplets ,
"L. Annaeus Seneca, Cordubensis ",*epigrammata ,Elegiac couplets ,
L. Caecilius Firmianus Lactantius ,de aue Phoenice ,Elegiac couplets ,
L. Verginius Rufus ,epigramma ,Elegiac couplets ,
"Lucius Apuleius, Madaurensis ",carminum fragmenta ,Elegiac couplets ,
Lucius Ticidas ,carminum fragmenta ,Elegiac couplets ,
"Luxurius, Carthaginiensis ",carmina ,Elegiac couplets ,
Lygdamus ,"corpus Tibullianum 3, 1-6 ",Elegiac couplets ,
M. Annaeus Lucanus ,carminum fragmenta ,Elegiac couplets ,
"M. Terentius Varro, Reatinus ","saturae Menippeae, fragmenta ",Elegiac couplets ,
M. Tullius Cicero ,fragmenta poetica ,Elegiac couplets ,
M. Valerius Martialis ,de spectaculis ,Elegiac couplets ,
M. Valerius Martialis ,epigrammata 1 ,Elegiac couplets ,
